👁︵👁,#genre#
http://diyp6.112114.xyz
https://epg.mxdyeah.top/api/diyp/
http://iptvapi.92e.cn/epg/epg.php
湖北卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024621&livemode=1&stbId=3$ITV域名
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8$黑移域名
湖南卫视,http://39.134.62.81:6610/000000001000/1000000001000032695/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032695&livemode=1&stbId=3$ITV v4网
湖南卫视,http://39.134.65.183/PLTV/88888888/224/3221225977/1.m3u8$鸡西移动
湖南卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032695&livemode=1&stbId=3$ITV域名
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8$黑移域名
吉林卫视,http://39.134.62.81:6610/000000001000/1000000002000027730/1.m3u8?channel-id=ystenlive&Contentid=1000000002000027730&livemode=1&stbId=3$ITV v4网
吉林卫视,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8$鸡西移动
吉林卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000027730&livemode=1&stbId=3$ITV域名
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$黑移域名
江苏卫视,http://39.134.62.81:6610/000000001000/1000000001000001828/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001828&livemode=1&stbId=3$ITV v4网
江苏卫视,http://39.134.65.183/PLTV/88888888/224/3221225938/1.m3u8$鸡西移动
江苏卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001828&livemode=1&stbId=3$ITV域名
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8$黑移域名
江西卫视,http://39.134.62.81:6610/000000001000/1000000001000013731/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1&stbId=3$ITV v4网
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8$鸡西移动
江西卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1&stbId=3$ITV域名
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$黑移域名
辽宁卫视,http://39.134.62.81:6610/000000001000/1000000001000001945/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001945&livemode=1&stbId=3$ITV v4网
辽宁卫视,http://39.134.65.8/PLTV/88888888/224/3221226089/1.m3u8$鸡西移动
辽宁卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001945&livemode=1&stbId=3$ITV域名
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8$黑移域名
内蒙古卫视,http://39.134.62.81:6610/000000001000/1000000002000014080/1.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=3$ITV v4网
内蒙古卫视,http://39.134.66.171/PLTV/88888888/224/3221225577/1.m3u8$鸡西移动
内蒙古卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=3$ITV域名
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8$黑移域名
宁夏卫视,http://39.134.62.81:6610/000000001000/5000000006000040022/1.m3u8?channel-id=bestzb&Contentid=5000000006000040022&livemode=1&stbId=3$ITV v4网
宁夏卫视,http://39.134.67.4/PLTV/88888888/224/3221225579/1.m3u8$鸡西移动
宁夏卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031451&livemode=1&stbId=3$ITV域名
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8$黑移域名
山东卫视,http://39.134.62.81:6610/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=3$ITV v4网
